zeolite,environment,,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,3,-0.492,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,4,-0.427,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,5,-0.408,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,6,-0.401,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,7,-0.282,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,8,-0.443,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,9,-0.279,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,10,-0.374,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,1,-0.708,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,2,-1.216,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,3,-0.608,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,4,-0.696,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,5,-0.946,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,6,-0.812,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,7,-0.201,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,8,-0.464,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,9,-0.485,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,06_02_glycerol,10,-1.143,-0.7279,-0.487830352
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,1,-0.782,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,2,-0.547,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,3,-0.495,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,4,-0.514,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,5,-0.575,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,6,-0.458,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,7,-0.925,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,8,-0.871,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,9,-0.429,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,07_01_ethene_glycol,10,-0.464,-0.606,-0.525070088
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,1,-0.608,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,2,-0.76,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,3,-0.68,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,4,-0.598,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,5,-0.667,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,6,-0.744,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,7,-0.769,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,8,-0.735,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,9,-0.674,-0.6835,-0.513850688
FAU,methanol_600_water_600-hydrophobic,,08_05_propylene_glycol,10,-0.6,-0.6835,-0.513850688
